split,arm,seed,layer,selected_epoch,threshold,frame_eer_pct,frame_f1_pct,frame_recall_pct,event_precision_pct,event_recall_pct,event_f1_pct,short_event_recall_pct,matched_boundary_mae_ms
dev,Hard frame,1,last,8,0.4105226397514343,5.253893697609516,93.97584451698296,94.74604876478195,64.20099752582178,77.63082913856967,70.28008856215473,62.80737437742835,19.96054442574967
dev,Hard frame,2,last,5,0.5433493852615356,5.4769602655033385,93.72224233426776,94.52298455701236,62.13045518535899,77.02060974451516,68.77885619477236,60.62739575999374,21.57693137677659
dev,Hard frame,3,last,8,0.47851884365081787,5.260012596245112,93.96891194954277,94.73999867424104,64.07766013124522,75.58291385696647,69.35638494890733,57.95457508670369,22.05709573548668
dev,Soft frame,1,last,5,0.4666961431503296,5.518896751395036,93.674611913541,94.48110740857261,63.62729511518439,72.69565010922214,67.85985404695543,50.73144019400767,21.207192200280694
dev,Soft frame,2,last,5,0.4874551296234131,5.785517225662885,93.37176318403965,94.2144825489084,62.605162426053674,72.6196694842815,67.24158779364399,50.74708597355863,22.11888374830032
dev,Soft frame,3,last,8,0.4542306661605835,5.389991514991961,93.82114796690283,94.6100006418357,64.75181318911667,73.34623421027638,68.78159025628466,51.97267203838431,21.85194477266119
dev,Phone,1,last,8,0.33103686571121216,6.044103207002049,93.07825008338892,93.95585433065482,74.12896557207601,55.34238769113876,63.37268976392939,14.733109077159769,30.345267719232705
dev,Phone,2,last,8,0.44150233268737793,6.392481848511299,92.68330162351657,93.6075269439467,76.23135939420106,54.498290435938834,63.558324679820004,11.932514537536832,28.897070035938633
dev,Phone,3,last,8,0.4291280508041382,6.172988394067715,92.93215569798343,93.82696109739173,76.85343441693601,53.91656377623706,63.373451944880514,11.755195702625883,30.96201695474541
dev,Word,1,last,8,0.3631412982940674,6.968593903045795,92.03090773114833,93.03134788651924,79.24307886294943,50.73487510684775,61.86260956420408,9.327492242300973,40.93377793377219
dev,Word,2,last,7,0.3315608501434326,6.987341480921123,92.00995148896331,93.01309239593056,79.22996723264819,50.5223667964669,61.70040016238474,9.163211557015828,43.18568474480084
dev,Word,3,last,6,0.4165767431259155,7.143260558522672,91.83299600934448,92.85684223152592,80.25988594933159,50.962816981669675,62.34088747213489,8.672977131085556,40.7108579681727
eval,Hard frame,1,last,8,0.4105226397514343,11.099817118801592,85.95702452492024,82.43729368862108,47.67727353036146,67.39640613360089,55.84729539506197,62.85218277668944,30.85771879833614
eval,Hard frame,2,last,5,0.5433493852615356,11.135994747583553,85.94142006269799,82.75219458633876,46.4119485726012,67.19918700937437,54.903864759793834,60.72037205153933,32.086782949728715
eval,Hard frame,3,last,8,0.47851884365081787,11.132981528552556,85.93803717530783,82.07173509571454,48.3257468489957,65.69420701118293,55.68712334967386,59.29889945370857,32.66906352215083
eval,Soft frame,1,last,5,0.4666961431503296,11.434286920818284,85.52970242621141,82.37652556176745,46.56907216494845,63.21734150342981,53.63091552370045,53.442591619284244,32.89995844943303
eval,Soft frame,2,last,5,0.4874551296234131,11.179669012781018,85.79798485297235,82.76023649544999,47.06358374165376,63.86067200909447,54.1903493434623,53.83439246977878,32.80843947865396
eval,Soft frame,3,last,8,0.4542306661605835,11.36446150079802,85.64386434489603,81.66362403884939,48.09224168519465,63.616516455739806,54.77566728831972,54.67373819421218,32.80733876646736
eval,Phone,1,last,8,0.33103686571121216,11.091501126152359,86.30233996289573,84.01051062745677,56.13308909970747,44.20593465932334,49.460630091974735,17.2766655517862,41.30173681802961
eval,Phone,2,last,8,0.44150233268737793,11.123709326615142,86.10216324429544,84.66251737928324,58.10773363494981,44.24468950906218,50.23737697223349,15.015847229522034,41.09752892974217
eval,Phone,3,last,8,0.4291280508041382,11.495182798278018,85.6864816359601,83.03919153695658,59.59163952614438,43.01917503843189,49.967114723351045,14.790482106168474,43.2425953174798
eval,Word,1,last,8,0.3631412982940674,12.69602332637689,84.42045326112115,82.14084063490134,60.50926172353223,39.16091444221006,47.548787660937194,11.96585280392438,54.07288081548047
eval,Word,2,last,7,0.3315608501434326,12.331474102482709,84.98147573770036,83.3067274896727,61.548301984848784,39.77797777194063,48.32442272884211,11.696688805007406,55.515068849077544
eval,Word,3,last,6,0.4165767431259155,12.515577402689942,84.46931912581411,82.52332734095015,61.88135277526475,40.057443299501784,48.63327556416429,11.527864048290251,52.84181671596198
